,City,Country,Latitude,Longitude,Temperature,Max Temperature,Cloudiness,Humidity,Wind Speed,Date/Time
0,Busselton,AU,-33.65,115.3333,62.76,64.99,0,78,3.0,1612047319
1,Parry Sound,CA,45.3501,-80.033,17.6,17.6,33,62,4.47,1612047240
2,Provideniya,RU,64.3833,-173.3,-12.08,-12.08,84,83,11.72,1612047388
3,Ponta do Sol,PT,32.6667,-17.1,55.69,60.01,52,76,1.99,1612047326
4,Seymchan,RU,62.8833,152.4333,-29.45,-29.45,100,81,7.85,1612047464
5,Hobart,AU,-42.8794,147.3294,65.34,68.0,20,48,11.5,1612047272
6,Morehead,US,37.2711,-87.1764,43.79,45.0,90,56,13.8,1612047466
7,Albany,US,42.6001,-73.9662,17.37,18.0,14,55,13.0,1612047315
8,George Town,MY,5.4112,100.3354,74.93,77.0,20,83,3.44,1612047320
9,Hilo,US,19.7297,-155.09,73.98,78.8,1,61,5.75,1612047467
10,Araxá,BR,-19.5933,-46.9406,69.55,69.55,70,74,2.08,1612047470
11,Pisco,PE,-13.7,-76.2167,73.24,73.4,0,73,19.57,1612047340
12,Oktyabr'skiy,RU,54.4815,53.471,22.62,22.62,90,97,8.32,1612047472
13,Castro,BR,-24.7911,-50.0119,65.77,65.77,100,97,1.68,1612047312
14,Warmbad,NA,-28.45,18.7333,73.2,73.2,0,38,11.25,1612047418
15,Torbay,CA,47.6666,-52.7314,27.99,28.99,90,93,10.36,1612047331
16,Butaritari,KI,3.0707,172.7902,81.21,81.21,100,77,16.58,1612047323
17,Leningradskiy,RU,69.3833,178.4167,-27.51,-27.51,0,81,3.24,1612047349
18,Mataura,NZ,-46.1927,168.8643,66.88,66.88,78,46,2.48,1612047317
19,Fort Nelson,CA,58.8053,-122.7002,-7.6,-7.6,75,64,2.3,1612047480
20,Harindānga,IN,22.0383,88.3214,53.6,53.6,0,87,3.44,1612047481
21,New Norfolk,AU,-42.7826,147.0587,62.78,68.0,12,60,1.01,1612047314
22,Lebu,CL,-37.6167,-73.65,59.4,59.4,2,77,12.82,1612047342
23,Santa Rosa,PH,14.3122,121.1114,71.19,71.6,20,78,2.3,1612047485
24,Clyde River,CA,70.4692,-68.5914,-18.4,-18.4,1,76,7.31,1612047330
25,Hope,US,33.6671,-93.5916,59.0,59.0,82,74,8.99,1612047487
26,Batagay-Alyta,RU,67.8006,130.4114,-37.08,-37.08,94,80,2.13,1612047488
27,Harper,LR,4.375,-7.7169,78.42,78.42,34,87,6.89,1612047489
28,The Pas,CA,53.8251,-101.2541,15.8,15.8,90,86,2.3,1612047490
29,Vaini,TO,-21.2,-175.2,82.4,82.4,75,83,6.91,1612047314
30,Mandalgovi,MN,45.7625,106.2708,11.71,11.71,72,92,10.89,1612047493
31,Saldanha,ZA,-33.0117,17.9442,64.69,64.69,0,91,5.06,1612047022
32,Grand Gaube,MU,-20.0064,57.6608,75.99,75.99,6,87,3.0,1612047308
33,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,-34.6,40,67,2.3,1612047332
34,Arraial do Cabo,BR,-22.9661,-42.0278,77.88,77.88,47,78,27.98,1612047073
35,Porto-Novo,BJ,6.4965,2.6036,84.2,84.2,20,84,10.36,1612047251
36,Katsuura,JP,35.1333,140.3,35.6,35.6,20,60,3.44,1612047334
37,Saint Paul Harbor,US,57.79,-152.4072,33.8,33.8,1,55,23.02,1612047323
38,Margate,GB,51.3813,1.3862,38.43,39.0,86,80,5.99,1612047443
39,Kahului,US,20.8947,-156.47,73.76,78.8,40,61,20.71,1612047255
40,Ternate,ID,0.8,127.4,79.18,79.18,100,78,6.08,1612047505
41,Beringovskiy,RU,63.05,179.3167,8.2,8.2,100,95,26.42,1612047340
42,Khatanga,RU,71.9667,102.5,-46.62,-46.62,29,78,1.28,1612047333
43,Avarua,CK,-21.2078,-159.775,78.8,78.8,75,78,5.75,1612047314
44,Nabire,ID,-3.3667,135.4833,78.8,78.8,97,85,2.95,1612047509
45,Laas,IT,46.6166,10.7002,35.56,41.0,90,100,2.13,1612047325
46,Pudozh,RU,61.8099,36.5345,12.87,12.87,41,96,4.72,1612047511
47,Ushuaia,AR,-54.8,-68.3,51.8,51.8,20,62,25.32,1612047163
48,Berdigestyakh,RU,62.0989,126.6992,-45.81,-45.81,75,76,1.28,1612047319
49,Saskylakh,RU,71.9167,114.0833,-35.66,-35.66,100,81,10.89,1612047350
50,Tiksi,RU,71.6872,128.8694,-28.16,-28.16,100,86,5.03,1612047338
51,Port Alfred,ZA,-33.5906,26.891,64.0,64.0,30,92,2.33,1612047312
52,Yellowknife,CA,62.456,-114.3525,-10.7,-9.99,75,77,4.61,1612047288
53,Kapaa,US,22.0752,-159.319,76.64,78.8,75,65,16.11,1612047339
54,Ostrovnoy,RU,68.0531,39.5131,14.41,14.41,100,95,8.57,1612047324
55,Dikson,RU,73.5069,80.5464,-35.52,-35.52,0,80,7.65,1612047319
56,Upernavik,GL,72.7868,-56.1549,-9.83,-9.83,26,84,6.22,1612047343
57,Jamestown,US,42.097,-79.2353,19.65,19.99,40,73,2.01,1612047187
58,Nadym,RU,65.5333,72.5167,-18.72,-18.72,100,85,20.38,1612047525
59,Chabahar,IR,25.2919,60.643,67.24,67.24,0,71,5.44,1612047526
60,Chicama,PE,-7.8447,-79.1469,71.6,71.6,56,78,11.5,1612047313
61,Bluff,NZ,-46.6,168.3333,57.16,57.16,100,67,0.98,1612047312
62,Isangel,VU,-19.55,169.2667,82.4,82.4,40,69,9.22,1612047406
63,Chifeng,CN,42.2683,118.9636,11.17,11.17,34,89,3.96,1612047530
64,Nanortalik,GL,60.1432,-45.2371,30.04,30.04,100,90,9.1,1612047312
65,Tyukhtet,RU,56.5389,89.3011,-29.69,-29.69,0,83,5.55,1612047532
66,Raudeberg,NO,61.9875,5.1352,33.01,33.01,100,93,10.63,1612047534
67,Vestmanna,FO,62.1564,-7.1664,33.8,33.8,75,75,20.71,1612047321
68,Atuona,PF,-9.8,-139.0333,78.93,78.93,28,76,19.55,1612047311
69,Khāsh,IR,28.2211,61.2158,49.95,49.95,0,46,6.91,1612047503
70,Tamiahua,MX,21.2667,-97.45,74.21,74.21,100,82,9.6,1612047538
71,Kuril'sk,RU,45.2333,147.8833,19.71,19.71,100,95,18.88,1612047539
72,Douentza,ML,14.9951,-2.9517,65.17,65.17,0,24,4.16,1612047540
73,Acaraú,BR,-2.8856,-40.12,79.79,79.79,87,79,13.02,1612047542
74,Binghamton,US,42.0987,-75.918,15.24,17.6,1,67,10.36,1612047536
75,Kuytun,RU,54.3419,101.5036,-30.46,-30.46,100,83,9.22,1612047544
76,Japura,ID,-0.3167,102.35,71.35,71.35,96,98,2.33,1612047545
77,Port Lincoln,AU,-34.7333,135.8667,63.66,63.66,2,71,17.07,1612047321
78,Rikitea,PF,-23.1203,-134.9692,79.12,79.12,22,74,12.33,1612047311
79,Bo Phloi,TH,14.3236,99.5161,75.99,75.99,2,55,4.29,1612047549
80,Ust-Nera,RU,64.5667,143.2,-22.47,-22.47,100,77,8.1,1612047550
81,Salalah,OM,17.0151,54.0924,68.0,68.0,0,64,5.75,1612047551
82,Mulegé,MX,26.8833,-111.9833,63.63,63.63,59,52,13.35,1612047552
83,Srednekolymsk,RU,67.45,153.6833,-33.93,-33.93,100,83,2.73,1612047352
84,Ossora,RU,59.2353,163.0719,-0.65,-0.65,99,89,29.97,1612047554
85,Orissaare,EE,58.5592,23.0826,27.77,28.4,75,100,5.75,1612047556
86,Hermanus,ZA,-34.4187,19.2345,66.99,66.99,3,84,9.86,1612047313
87,Yantal',RU,56.8471,105.2542,-42.5,-42.5,58,76,2.44,1612047558
88,Qaanaaq,GL,77.484,-69.3632,-5.91,-5.91,94,72,2.48,1612047333
89,Tasiilaq,GL,65.6145,-37.6368,21.2,21.2,90,38,21.85,1612047338
90,Muros,ES,42.7762,-9.0603,55.51,55.99,99,76,3.0,1612047561
91,Mar del Plata,AR,-38.0023,-57.5575,62.13,62.6,75,59,18.41,1612047328
92,Kavieng,PG,-2.5744,150.7967,83.25,83.25,100,73,14.32,1612047327
