,City,Country,Latitude,Longitude,Temperature,Max Temperature,Cloudiness,Humidity,Wind Speed,Date/Time
0,Medininagar,IN,24.0333,84.0667,56.64,56.64,0,38,4.41,1611975906
1,Balikpapan,ID,-1.2675,116.8289,84.2,84.2,40,79,3.44,1611976016
2,Kumluca,TR,36.3703,30.2869,47.32,47.32,83,53,3.74,1611976017
3,Hermanus,ZA,-34.4187,19.2345,61.0,61.0,72,91,3.29,1611976019
4,Charters Towers,AU,-20.1,146.2667,88.97,88.97,76,31,9.89,1611976020
5,George Town,MY,5.4112,100.3354,82.04,84.2,20,65,8.05,1611976021
6,Fort Nelson,CA,58.8053,-122.7002,-11.2,-11.2,75,77,3.44,1611976022
7,Iquique,CL,-20.2208,-70.1431,69.8,69.8,0,73,11.5,1611975791
8,Vaini,TO,-21.2,-175.2,80.6,80.6,90,89,19.24,1611975847
9,Talnakh,RU,69.4865,88.3972,-31.63,-31.63,3,65,3.0,1611976026
10,Ullapool,GB,57.8987,-5.1604,28.98,33.01,78,95,3.0,1611976027
11,Latung,PH,5.5,120.8833,81.82,81.82,87,76,9.46,1611976028
12,Carnarvon,AU,-24.8667,113.6333,105.8,105.8,0,21,18.41,1611975835
13,Hobart,AU,-42.8794,147.3294,69.33,71.6,75,60,11.5,1611975781
14,Thompson,CA,55.7435,-97.8558,10.4,10.4,90,85,5.75,1611975842
15,Khatanga,RU,71.9667,102.5,-43.28,-43.28,0,75,3.24,1611976033
16,Lagoa,PT,39.05,-27.9833,59.79,59.79,100,82,19.1,1611975882
17,Newport,GB,51.5877,-2.9984,43.21,45.0,100,96,14.85,1611975809
18,Busselton,AU,-33.65,115.3333,80.22,82.0,0,45,4.0,1611976036
19,Tasiilaq,GL,65.6145,-37.6368,15.8,15.8,90,53,21.85,1611976037
20,Jamestown,US,42.097,-79.2353,18.5,19.0,90,73,13.8,1611975856
21,Barrow,US,71.2906,-156.7887,-11.2,-11.2,90,77,9.22,1611976040
22,Rikitea,PF,-23.1203,-134.9692,80.46,80.46,38,70,9.26,1611976041
23,Upernavik,GL,72.7868,-56.1549,-8.64,-8.64,1,83,10.49,1611976042
24,Iskateley,RU,67.6803,53.1512,-7.69,-7.69,100,85,16.51,1611976043
25,Cape Town,ZA,-33.9258,18.4232,65.95,70.0,40,88,4.61,1611975904
26,Ushuaia,AR,-54.8,-68.3,42.8,42.8,40,75,17.27,1611976045
27,Khandyga,RU,62.6667,135.6,-44.79,-44.79,91,75,1.03,1611976047
28,Yar-Sale,RU,66.8333,70.8333,-38.27,-38.27,45,82,4.25,1611975910
29,Olmos,PE,-5.9847,-79.7453,77.61,77.61,99,62,3.98,1611976049
30,Bilibino,RU,68.0546,166.4372,-24.65,-24.65,0,80,4.27,1611976050
31,São Filipe,CV,14.8961,-24.4956,74.64,74.64,97,55,9.78,1611976051
32,Albany,US,42.6001,-73.9662,8.87,10.99,6,51,5.99,1611975797
33,Punta Arenas,CL,-53.15,-70.9167,46.2,46.4,40,81,20.71,1611975833
34,Mataura,NZ,-46.1927,168.8643,69.98,69.98,0,37,1.23,1611976055
35,Castro,BR,-24.7911,-50.0119,62.65,62.65,100,96,3.78,1611976056
36,Whitehills,GB,57.6667,-2.5833,29.34,32.0,37,92,10.47,1611976057
37,Flin Flon,CA,54.7682,-101.865,12.69,12.69,100,96,6.24,1611975915
38,Djambala,CG,-2.5447,14.7533,68.23,68.23,100,99,1.43,1611976059
39,Hilo,US,19.7297,-155.09,69.4,75.2,90,73,6.91,1611976060
40,Yellowknife,CA,62.456,-114.3525,-18.13,-18.0,1,76,9.22,1611975834
41,Malé,MV,4.1748,73.5089,80.6,80.6,40,83,8.05,1611976063
42,Saint Paul Harbor,US,57.79,-152.4072,35.6,35.6,1,55,16.11,1611976064
43,Ban Nahin,LA,18.2418,104.2122,80.38,80.38,0,38,1.28,1611976065
44,Muros,ES,42.7762,-9.0603,57.34,57.99,13,81,8.01,1611976066
45,Mar del Plata,AR,-38.0023,-57.5575,65.53,66.99,96,88,15.05,1611975876
46,Chokurdakh,RU,70.6333,147.9167,-26.84,-26.84,100,85,8.88,1611975976
47,Tuktoyaktuk,CA,69.4541,-133.0374,-36.4,-36.4,1,67,2.3,1611976069
48,Faanui,PF,-16.4833,-151.75,81.0,81.0,100,67,4.09,1611976071
49,Mahébourg,MU,-20.4081,57.7,78.8,78.8,75,89,4.61,1611975845
50,Port Alfred,ZA,-33.5906,26.891,64.99,64.99,6,82,6.93,1611976073
51,Hithadhoo,MV,-0.6,73.0833,81.63,81.63,98,76,11.92,1611976074
52,Wałcz,PL,53.2779,16.4712,28.53,30.0,100,98,7.94,1611976075
53,Zyryanka,RU,65.75,150.85,-24.59,-24.59,100,85,12.17,1611976076
54,Mackay,AU,-21.15,149.2,86.0,86.0,40,66,21.85,1611976077
55,New Norfolk,AU,-42.7826,147.0587,68.79,71.6,75,60,11.5,1611975885
56,Bethel,US,41.3712,-73.414,12.79,14.0,1,52,5.75,1611976080
57,Minot,US,48.2325,-101.2963,22.17,23.0,90,86,13.8,1611976081
58,Sabang,ID,5.8933,95.3214,81.37,81.37,100,78,22.44,1611976082
